File Description: RCMIP SSP370 emissions scenario from 1750-2500.,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,
,,,
year,HFC152a,HFC236fa,HFC365mfc
1750,0,0,0
1751,0,0,0
1752,0,0,0
1753,0,0,0
1754,0,0,0
1755,0,0,0
1756,0,0,0
1757,0,0,0
1758,0,0,0
1759,0,0,0
1760,0,0,0
1761,0,0,0
1762,0,0,0
1763,0,0,0
1764,0,0,0
1765,0,0,0
1766,0,0,0
1767,0,0,0
1768,0,0,0
1769,0,0,0
1770,0,0,0
1771,0,0,0
1772,0,0,0
1773,0,0,0
1774,0,0,0
1775,0,0,0
1776,0,0,0
1777,0,0,0
1778,0,0,0
1779,0,0,0
1780,0,0,0
1781,0,0,0
1782,0,0,0
1783,0,0,0
1784,0,0,0
1785,0,0,0
1786,0,0,0
1787,0,0,0
1788,0,0,0
1789,0,0,0
1790,0,0,0
1791,0,0,0
1792,0,0,0
1793,0,0,0
1794,0,0,0
1795,0,0,0
1796,0,0,0
1797,0,0,0
1798,0,0,0
1799,0,0,0
1800,0,0,0
1801,0,0,0
1802,0,0,0
1803,0,0,0
1804,0,0,0
1805,0,0,0
1806,0,0,0
1807,0,0,0
1808,0,0,0
1809,0,0,0
1810,0,0,0
1811,0,0,0
1812,0,0,0
1813,0,0,0
1814,0,0,0
1815,0,0,0
1816,0,0,0
1817,0,0,0
1818,0,0,0
1819,0,0,0
1820,0,0,0
1821,0,0,0
1822,0,0,0
1823,0,0,0
1824,0,0,0
1825,0,0,0
1826,0,0,0
1827,0,0,0
1828,0,0,0
1829,0,0,0
1830,0,0,0
1831,0,0,0
1832,0,0,0
1833,0,0,0
1834,0,0,0
1835,0,0,0
1836,0,0,0
1837,0,0,0
1838,0,0,0
1839,0,0,0
1840,0,0,0
1841,0,0,0
1842,0,0,0
1843,0,0,0
1844,0,0,0
1845,0,0,0
1846,0,0,0
1847,0,0,0
1848,0,0,0
1849,0,0,0
1850,0,0,0
1851,0,0,0
1852,0,0,0
1853,0,0,0
1854,0,0,0
1855,0,0,0
1856,0,0,0
1857,0,0,0
1858,0,0,0
1859,0,0,0
1860,0,0,0
1861,0,0,0
1862,0,0,0
1863,0,0,0
1864,0,0,0
1865,0,0,0
1866,0,0,0
1867,0,0,0
1868,0,0,0
1869,0,0,0
1870,0,0,0
1871,0,0,0
1872,0,0,0
1873,0,0,0
1874,0,0,0
1875,0,0,0
1876,0,0,0
1877,0,0,0
1878,0,0,0
1879,0,0,0
1880,0,0,0
1881,0,0,0
1882,0,0,0
1883,0,0,0
1884,0,0,0
1885,0,0,0
1886,0,0,0
1887,0,0,0
1888,0,0,0
1889,0,0,0
1890,0,0,0
1891,0,0,0
1892,0,0,0
1893,0,0,0
1894,0,0,0
1895,0,0,0
1896,0,0,0
1897,0,0,0
1898,0,0,0
1899,0,0,0
1900,0,0,0
1901,0,0,0
1902,0,0,0
1903,0,0,0
1904,0,0,0
1905,0,0,0
1906,0,0,0
1907,0,0,0
1908,0,0,0
1909,0,0,0
1910,0,0,0
1911,0,0,0
1912,0,0,0
1913,0,0,0
1914,0,0,0
1915,0,0,0
1916,0,0,0
1917,0,0,0
1918,0,0,0
1919,0,0,0
1920,0,0,0
1921,0,0,0
1922,0,0,0
1923,0,0,0
1924,0,0,0
1925,0,0,0
1926,0,0,0
1927,0,0,0
1928,0,0,0
1929,0,0,0
1930,0,0,0
1931,0,0,0
1932,0,0,0
1933,0,0,0
1934,0,0,0
1935,0,0,0
1936,0,0,0
1937,0,0,0
1938,0,0,0
1939,0,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
1945,0,0,0
1946,0,0,0
1947,0,0,0
1948,0,0,0
1949,0,0,0
1950,0,0,0
1951,0,0,0
1952,0,0,0
1953,0,0,0
1954,0,0,0
1955,0,0,0
1956,0,0,0
1957,0,0,0
1958,0,0,0
1959,0,0,0
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,3.66E-10,0
1969,0,6.58E-07,1.13E-06
1970,0,2.40E-06,4.23E-06
1971,0,4.20E-06,7.74E-06
1972,0,5.30E-06,1.04E-05
1973,2.10E-08,5.68E-06,1.20E-05
1974,1.77E-07,5.35E-06,1.24E-05
1975,4.00E-07,4.29E-06,1.15E-05
1976,5.64E-07,2.52E-06,9.16E-06
1977,7.19E-07,7.91E-07,-6.51E-06
1978,8.75E-07,1.36E-07,-2.14E-05
1979,1.03E-06,1.36E-07,-9.98E-06
1980,1.18E-06,1.36E-07,3.13E-06
1981,1.33E-06,1.36E-07,3.83E-05
1982,1.47E-06,1.34E-07,6.67E-05
1983,1.65E-05,1.32E-07,2.41E-05
1984,0.000152491,1.33E-07,-4.01E-05
1985,0.000399263,1.33E-07,-6.22E-06
1986,0.000674323,1.34E-07,3.18E-05
1987,0.001000528,1.34E-07,8.32E-06
1988,0.001400486,1.35E-07,3.47E-05
1989,0.001864912,1.36E-07,7.70E-05
1990,0.002382589,1.36E-07,1.83E-05
1991,0.002937818,1.55E-05,-7.30E-05
1992,0.004491123,1.55E-05,-3.08E-05
1993,0.006496799,3.09E-05,4.28E-05
1994,0.007162855,6.17E-05,8.30E-06
1995,0.007887955,6.20E-05,8.46E-06
1996,0.010100268,7.76E-05,0.000113536
1997,0.011574972,9.32E-05,0.000111343
1998,0.015498744,0.000108976,6.92E-05
1999,0.018334419,0.000124802,0.000139549
2000,0.021400526,0.000140709,0.000269996
2001,0.027184793,0.000156671,0.000610731
2002,0.029655611,0.000157338,0.001313749
2003,0.034656619,0.00015807,0.002235639
2004,0.042288118,0.000219984,0.003118653
2005,0.045001634,0.000212764,0.003418058
2006,0.051038048,0.000182183,0.002559234
2007,0.055735756,0.00023422,0.0027884
2008,0.055545108,0.000212223,0.0027884
2009,0.058747812,0.000172706,0.0029974
2010,0.059879906,0.000279934,0.0033098
2011,0.059950898,0.000333569,0.0035841
2012,0.056430796,0.000258313,0.0039269
2013,0.05223651,0.000241043,0.0042254
2014,0.0556047,0.000256,0.0044701
2015,0.0558814,0.0002604,0.0046492
2016,0.055803929,0.00029222,0.00479476
2017,0.055726458,0.00032404,0.004940319
2018,0.055648988,0.00035586,0.005085879
2019,0.055571517,0.00038768,0.005231439
2020,0.055494046,0.0004195,0.005376998
2021,0.053448397,0.00043357,0.005297624
2022,0.051402749,0.00044764,0.00521825
2023,0.0493571,0.00046171,0.005138875
2024,0.047311451,0.00047578,0.005059501
2025,0.045265803,0.00048985,0.004980127
2026,0.043220154,0.00050392,0.004900753
2027,0.041174505,0.00051799,0.004821378
2028,0.039128856,0.00053206,0.004742004
2029,0.037083208,0.00054613,0.00466263
2030,0.035037559,0.0005602,0.004583255
2031,0.034327282,0.00057385,0.004567565
2032,0.033617004,0.0005875,0.004551874
2033,0.032906727,0.00060115,0.004536184
2034,0.03219645,0.0006148,0.004520493
2035,0.031486173,0.00062845,0.004504802
2036,0.030775895,0.0006421,0.004489112
2037,0.030065618,0.00065575,0.004473421
2038,0.029355341,0.0006694,0.00445773
2039,0.028645063,0.00068305,0.00444204
2040,0.027934786,0.0006967,0.004426349
2041,0.0277155,0.00070898,0.004446645
2042,0.027496214,0.00072126,0.004466942
2043,0.027276928,0.00073354,0.004487238
2044,0.027057642,0.00074582,0.004507534
2045,0.026838357,0.0007581,0.004527831
2046,0.026619071,0.00077038,0.004548127
2047,0.026399785,0.00078266,0.004568423
2048,0.026180499,0.00079494,0.004588719
2049,0.025961213,0.00080722,0.004609016
2050,0.025741927,0.0008195,0.004629312
2051,0.025526815,0.00082831,0.0046351
2052,0.025311702,0.00083712,0.004640889
2053,0.02509659,0.00084593,0.004646677
2054,0.024881478,0.00085474,0.004652466
2055,0.024666366,0.00086355,0.004658254
2056,0.024451253,0.00087236,0.004664043
2057,0.024236141,0.00088117,0.004669831
2058,0.024021029,0.00088998,0.00467562
2059,0.023805916,0.00089879,0.004681408
2060,0.023590804,0.0009076,0.004687197
2061,0.02348533,0.00091693,0.004709011
2062,0.023379856,0.00092626,0.004730825
2063,0.023274382,0.00093559,0.004752639
2064,0.023168908,0.00094492,0.004774453
2065,0.023063434,0.00095425,0.004796267
2066,0.022957959,0.00096358,0.004818081
2067,0.022852485,0.00097291,0.004839895
2068,0.022747011,0.00098224,0.004861709
2069,0.022641537,0.00099157,0.004883523
2070,0.022536063,0.0010009,0.004905337
2071,0.022542622,0.00101118,0.004949677
2072,0.02254918,0.00102146,0.004994017
2073,0.022555739,0.00103174,0.005038357
2074,0.022562297,0.00104202,0.005082697
2075,0.022568856,0.0010523,0.005127037
2076,0.022575414,0.00106258,0.005171377
2077,0.022581973,0.00107286,0.005215717
2078,0.022588531,0.00108314,0.005260057
2079,0.02259509,0.00109342,0.005304396
2080,0.022601648,0.0011037,0.005348736
2081,0.022642759,0.00111327,0.005400623
2082,0.022683869,0.00112284,0.00545251
2083,0.02272498,0.00113241,0.005504397
2084,0.02276609,0.00114198,0.005556284
2085,0.022807201,0.00115155,0.005608171
2086,0.022848312,0.00116112,0.005660058
2087,0.022889422,0.00117069,0.005711945
2088,0.022930533,0.00118026,0.005763832
2089,0.022971643,0.00118983,0.005815718
2090,0.023012754,0.0011994,0.005867605
2091,0.023098562,0.00120974,0.005927123
2092,0.023184371,0.00122008,0.005986641
2093,0.023270179,0.00123042,0.006046158
2094,0.023355988,0.00124076,0.006105676
2095,0.023441796,0.0012511,0.006165193
2096,0.023527604,0.00126144,0.006224711
2097,0.023613413,0.00127178,0.006284229
2098,0.023699221,0.00128212,0.006343746
2099,0.02378503,0.00129246,0.006403264
2100,0.023870838,0.0013028,0.006462782
2101,0.023711699,0.001294115,0.006419696
2102,0.02355256,0.001285429,0.006376611
2103,0.023393421,0.001276744,0.006333526
2104,0.023234282,0.001268059,0.006290441
2105,0.023075143,0.001259373,0.006247356
2106,0.022916004,0.001250688,0.00620427
2107,0.022756866,0.001242003,0.006161185
2108,0.022597727,0.001233317,0.0061181
2109,0.022438588,0.001224632,0.006075015
2110,0.022279449,0.001215947,0.006031929
2111,0.02212031,0.001207261,0.005988844
2112,0.021961171,0.001198576,0.005945759
2113,0.021802032,0.001189891,0.005902674
2114,0.021642893,0.001181205,0.005859589
2115,0.021483754,0.00117252,0.005816503
2116,0.021324615,0.001163835,0.005773418
2117,0.021165476,0.001155149,0.005730333
2118,0.021006337,0.001146464,0.005687248
2119,0.020847199,0.001137779,0.005644163
2120,0.02068806,0.001129093,0.005601077
2121,0.020528921,0.001120408,0.005557992
2122,0.020369782,0.001111723,0.005514907
2123,0.020210643,0.001103037,0.005471822
2124,0.020051504,0.001094352,0.005428737
2125,0.019892365,0.001085667,0.005385651
2126,0.019733226,0.001076981,0.005342566
2127,0.019574087,0.001068296,0.005299481
2128,0.019414948,0.001059611,0.005256396
2129,0.019255809,0.001050925,0.00521331
2130,0.01909667,0.00104224,0.005170225
2131,0.018937531,0.001033555,0.00512714
2132,0.018778393,0.001024869,0.005084055
2133,0.018619254,0.001016184,0.00504097
2134,0.018460115,0.001007499,0.004997884
2135,0.018300976,0.000998813,0.004954799
2136,0.018141837,0.000990128,0.004911714
2137,0.017982698,0.000981443,0.004868629
2138,0.017823559,0.000972757,0.004825544
2139,0.01766442,0.000964072,0.004782458
2140,0.017505281,0.000955387,0.004739373
2141,0.017346142,0.000946701,0.004696288
2142,0.017187003,0.000938016,0.004653203
2143,0.017027864,0.000929331,0.004610118
2144,0.016868726,0.000920645,0.004567032
2145,0.016709587,0.00091196,0.004523947
2146,0.016550448,0.000903275,0.004480862
2147,0.016391309,0.000894589,0.004437777
2148,0.01623217,0.000885904,0.004394691
2149,0.016073031,0.000877219,0.004351606
2150,0.015913892,0.000868533,0.004308521
2151,0.015754753,0.000859848,0.004265436
2152,0.015595614,0.000851163,0.004222351
2153,0.015436475,0.000842477,0.004179265
2154,0.015277336,0.000833792,0.00413618
2155,0.015118197,0.000825107,0.004093095
2156,0.014959058,0.000816421,0.00405001
2157,0.01479992,0.000807736,0.004006925
2158,0.014640781,0.000799051,0.003963839
2159,0.014481642,0.000790365,0.003920754
2160,0.014322503,0.00078168,0.003877669
2161,0.014163364,0.000772995,0.003834584
2162,0.014004225,0.000764309,0.003791499
2163,0.013845086,0.000755624,0.003748413
2164,0.013685947,0.000746939,0.003705328
2165,0.013526808,0.000738253,0.003662243
2166,0.013367669,0.000729568,0.003619158
2167,0.01320853,0.000720883,0.003576072
2168,0.013049391,0.000712197,0.003532987
2169,0.012890253,0.000703512,0.003489902
2170,0.012731114,0.000694827,0.003446817
2171,0.012571975,0.000686141,0.003403732
2172,0.012412836,0.000677456,0.003360646
2173,0.012253697,0.000668771,0.003317561
2174,0.012094558,0.000660085,0.003274476
2175,0.011935419,0.0006514,0.003231391
2176,0.01177628,0.000642715,0.003188306
2177,0.011617141,0.000634029,0.00314522
2178,0.011458002,0.000625344,0.003102135
2179,0.011298863,0.000616659,0.00305905
2180,0.011139724,0.000607973,0.003015965
2181,0.010980585,0.000599288,0.00297288
2182,0.010821447,0.000590603,0.002929794
2183,0.010662308,0.000581917,0.002886709
2184,0.010503169,0.000573232,0.002843624
2185,0.01034403,0.000564547,0.002800539
2186,0.010184891,0.000555861,0.002757453
2187,0.010025752,0.000547176,0.002714368
2188,0.009866613,0.000538491,0.002671283
2189,0.009707474,0.000529805,0.002628198
2190,0.009548335,0.00052112,0.002585113
2191,0.009389196,0.000512435,0.002542027
2192,0.009230057,0.000503749,0.002498942
2193,0.009070918,0.000495064,0.002455857
2194,0.00891178,0.000486379,0.002412772
2195,0.008752641,0.000477693,0.002369687
2196,0.008593502,0.000469008,0.002326601
2197,0.008434363,0.000460323,0.002283516
2198,0.008275224,0.000451637,0.002240431
2199,0.008116085,0.000442952,0.002197346
2200,0.007956946,0.000434267,0.002154261
2201,0.007797807,0.000425581,0.002111175
2202,0.007638668,0.000416896,0.00206809
2203,0.007479529,0.000408211,0.002025005
2204,0.00732039,0.000399525,0.00198192
2205,0.007161251,0.00039084,0.001938834
2206,0.007002112,0.000382155,0.001895749
2207,0.006842974,0.000373469,0.001852664
2208,0.006683835,0.000364784,0.001809579
2209,0.006524696,0.000356099,0.001766494
2210,0.006365557,0.000347413,0.001723408
2211,0.006206418,0.000338728,0.001680323
2212,0.006047279,0.000330043,0.001637238
2213,0.00588814,0.000321357,0.001594153
2214,0.005729001,0.000312672,0.001551068
2215,0.005569862,0.000303987,0.001507982
2216,0.005410723,0.000295301,0.001464897
2217,0.005251584,0.000286616,0.001421812
2218,0.005092445,0.000277931,0.001378727
2219,0.004933307,0.000269245,0.001335642
2220,0.004774168,0.00026056,0.001292556
2221,0.004615029,0.000251875,0.001249471
2222,0.00445589,0.000243189,0.001206386
2223,0.004296751,0.000234504,0.001163301
2224,0.004137612,0.000225819,0.001120215
2225,0.003978473,0.000217133,0.00107713
2226,0.003819334,0.000208448,0.001034045
2227,0.003660195,0.000199763,0.00099096
2228,0.003501056,0.000191077,0.000947875
2229,0.003341917,0.000182392,0.000904789
2230,0.003182778,0.000173707,0.000861704
2231,0.003023639,0.000165021,0.000818619
2232,0.002864501,0.000156336,0.000775534
2233,0.002705362,0.000147651,0.000732449
2234,0.002546223,0.000138965,0.000689363
2235,0.002387084,0.00013028,0.000646278
2236,0.002227945,0.000121595,0.000603193
2237,0.002068806,0.000112909,0.000560108
2238,0.001909667,0.000104224,0.000517023
2239,0.001750528,9.55E-05,0.000473937
2240,0.001591389,8.69E-05,0.000430852
2241,0.00143225,7.82E-05,0.000387767
2242,0.001273111,6.95E-05,0.000344682
2243,0.001113972,6.08E-05,0.000301596
2244,0.000954834,5.21E-05,0.000258511
2245,0.000795695,4.34E-05,0.000215426
2246,0.000636556,3.47E-05,0.000172341
2247,0.000477417,2.61E-05,0.000129256
2248,0.000318278,1.74E-05,8.62E-05
2249,0.000159139,8.69E-06,4.31E-05
2250,0,0,0
2251,0,0,0
2252,0,0,0
2253,0,0,0
2254,0,0,0
2255,0,0,0
2256,0,0,0
2257,0,0,0
2258,0,0,0
2259,0,0,0
2260,0,0,0
2261,0,0,0
2262,0,0,0
2263,0,0,0
2264,0,0,0
2265,0,0,0
2266,0,0,0
2267,0,0,0
2268,0,0,0
2269,0,0,0
2270,0,0,0
2271,0,0,0
2272,0,0,0
2273,0,0,0
2274,0,0,0
2275,0,0,0
2276,0,0,0
2277,0,0,0
2278,0,0,0
2279,0,0,0
2280,0,0,0
2281,0,0,0
2282,0,0,0
2283,0,0,0
2284,0,0,0
2285,0,0,0
2286,0,0,0
2287,0,0,0
2288,0,0,0
2289,0,0,0
2290,0,0,0
2291,0,0,0
2292,0,0,0
2293,0,0,0
2294,0,0,0
2295,0,0,0
2296,0,0,0
2297,0,0,0
2298,0,0,0
2299,0,0,0
2300,0,0,0